User Stories English,Accecptance Criteria
"As a Training Manager I want to be able to see the following in the TC under Courses in the view Registrationswhen using the ""Import from Contao"" functionimmediately after the successful importfor all imported contacts in the DSBCunder Contacts in the Details view in the section Course Registration Dataa corresponding training registration entry is added,so that the information about the use of personal data is complete for all imported contacts.\\","Acceptance Criteria:* Case 1: For any registration as a *private individual* for a paid training that is imported from Contao:** The contact is created as a private customer in CoMET.* Case 2: For each registration to a paid training as an employee of a *company* applies:** The company is created in CoMET and appears in the list of companies in CoMET.** The contact is created as a normal contact in CoMET and assigned to the company.* Case 3: For each registration as *andrena employee* applies:** The contact will be created in CoMET - if the given email address is not yet assigned to another contact in CoMET - and treated as a normal event contact.* The following applies to all of the above cases: In the TC, after successfully importing the registrations from Contao ...** In the DSBC, you will find the entry that this contact is registered for this training in the Details view in the Training registration data section.** The storage period for this contact has increased to 10 years - if it was previously less than 10 years.** In the contact's history, a corresponding GDPR incident ""Training participation - storage period extended by 10 years"" appears."
"As a Training Manager I want to have in the TC in the Training Details via Registrations, Register Contactin addition to the already existing discount types* early booking discount* large customer discountan additional discount type* special discountso that I am able to enter an additional discount in a third line, either a percentage or an absolute value,so that for special promotions such as online editions of courses, I can keep the base price and give a special discount.\\Layout:* The visual layout should be as follows:** Special discount in <DropDownListbox with ""Euro"" or ""Percent""> because of <reason> in the amount of <discount in % or Euro>.\\","Acceptance criteria:* Example 1** Basic price: 1400 Euro** Special discount in Euro due to OnlineEdition in the amount of -250 Euro** Invoice price: 1150 Euro* Example 2** Base price: 1400 Euro** Special discount in percent due to OnlineEdition in the amount of 20 % (show on invoice in EUR)** Invoice price: 1120 Euro* Example 3** Base price: 1400 Euro** Early bird discount: -100 Euro** Major customer discount: -140 Euro** Special discount in Euro due to OnlineEdition in the amount of -150 EUR** Invoice price: 1010 EUR\\Note:* The implementation of this story automatically leads to the fact that contacts imported via Contao must also be able to receive a special discount in the same way.* When transferring to NAVISION, the reason will be transferred as text, so that the special discount with reason will be shown on the invoice.* This adoption of the transfer must also still be mapped in a separate user story, which has not yet been clarified with �.* In addition, it still needs to be clarified with the stakeholders whether it is okay in the long run for the Contao e-mail to communicate a price without a special discount to the registrant that is higher than the price that will ultimately appear on the invoice. This point should also be put into a separate user story"
"As a Training Manager I want the same validation logic to be used as for manual registration in the Training Cockpit in the view Registrations for a selected course when changing a registration, changing a participation, or opting out and opting in by clicking on the registered contact in the Details viewso that the data quality of a contact is as good and consistent as possible.\\","Acceptance criteria:* The ContactDetails component form should use the modified, generalized SignupForm, with the improved validations on price and billing address.* This functionality is called without a ""preview button"" and replaces the previous page."
"As a Training Manager I want that in the TC when a contact is registered for a course by importing many registrations from Contao,this registration is shown in the list of registrations,so that the list is immediately up to dateand I have a direct feedback that the registration(s) was (were) successful.\\","Acceptance Criteria:* In the TC, after a successfully completed registration via the import function from Contao, the list of registrations is updated so that the new registration is visible or the new registrations are visible."
"As a Training Manager I want to receive an error message that keeps me on the Add Signup page in the Training Cockpit in the view Registrations for a selected course when registering using the function Register Contact after searching for an existing contact by clicking on Create in the view Add Registrationswhen creating a contact with an existing e-mail address by mistakeafter clicking on ""Create registration"".\\","Acceptance Criteria:* No new contact is created with a duplicate email address (/).* The enrollment process for the training is not completed (/).* The page is not changed and the Training Manager is notified of the duplicate e-mail address. After changing the email address, the notice is removed and the enrollment can be performed again if the Training Manager does not cancel the process.\\Notice:* The first two criteria are already met, but a success message is displayed to Training Manager. However, the data entered is probably ignored.* To clarify: Should the notice differ if the email address not only exists as a contact, but is already registered as a participant? Possibly outsource to another story.* Dependence on the Event Cockpit:** The functionality in the TC should be 1:1 the same as the functionality in the EC when (usually subsequently) manually adding a participant to an event, to ensure consistency of operation in CoMET.** If we follow a different approach in the TC than in the EC, the approach in the EC must be adapted accordingly."
"As a Training Manager I want that CoMET forces me to enter the email address of the contact in the TC in the view Training Overview, Training, Registrations, register contacts at the duplicate check,with the following case distinction:* Case 1: The entered email address does not yet exist in CoMET.** ","Acceptance criteria:*** Above the search list, with a yellow background, the message.""No matching contact found? Please check details or create new contact.""followed by the button ""Create new contact"" is displayed.*** The search list is empty.*** Continue as usual via ""Create new contact"", but the e-mail address is pre-assigned with the entered value in a non-editable way.**** Note: In addition to avoiding duplicates, this also makes work easier for the Training Manager, since the e-mail address does not have to be entered again.*** The e-mail address field cannot be edited, i.e. the e-mail address taken from the search must be used for the new contact or the entire process must be cancelled.* Case 2: The entered e-mail address already exists in CoMET.** Case 2.1 : The contact is not yet registered for the training.*** Acceptance criteria:**** Above the search list, with a yellow background, the message.""The contact was found. Should he be registered for this course?""followed by the button ""Register contact"" is displayed.**** The search list contains exactly one entry.**** When the button ""Register contact"" is pressed, the displayed contact is added to the list of registrations for this course.**** The view changes back to the view Registrations (list of registrations).**** The list of registrations now contains the newly registered contact.** Case 2.2 : The contact is already registered for the course.*** Acceptance criteria:**** Above the search list, with a yellow background, the message.""The contact is already registered for this course.""followed by the button ""Display registrations"" is displayed.**** The search list contains no entry.**** When the button ""Show registrations"" is pressed, the system switches back to the Registrations view (list of registrations).**** The list of registrations contains the contact already registered.\\so that I can't accidentally create a contact with an already existing email address and corrupt CoMET's consistency.\\Notice:* reuse existing email validators if necessary.* This story replaces the user story COMET-880"
As a Training Manager I want that when importing company customers as registrations from Contaothe companies are visible in CoMETso that I as a Training Manager have a feedback that the companies have actually been created.\\,"Acceptance criteria:* Once new companies are created as debtors in CoMET by importing training registrations from Contao, these new companies appear�** in the list Companies in CoMET** in the DropDownListBox for selecting a company in the detail view of a contact, all companies appear in CoMET, including those created by the Contao import."
"As a Key Account Manager I want a new view in the Sales Cockpit under the menu item Contacts*SO THAT** I can view registrations as well as participants with sales potential for future events and trainings and address them specifically at the event/training.* I can view registrations and attendees for past events and trainings.\\*Notes- Events, in the context of the Sales Cockpit, are actually all EventCockpit events and TrainingCockpit events, since the distinction is not mandatory for the sales employee.- The implementation of this user story makes user story COMET-620 unneccessary.- The implementation of this story replaces user stories:** COMET-400** COMET-401** COMET-795** COMET-899- This way, the additional database in Contao, which provides exactly this insight for Sales, can be made redundant. This additional database poses a huge GDPR risk, because the personal data is stored unencrypted and weakly protected.- A contact is considered assigned to me as a KAM exactly when he ...** is an employee of a company that is assigned to me as a KAM** if he is directly assigned to me in CRM\\*","acceptance criteria* The menu item is displayed in the sidebar* If you click on the menu item, an overview of all events and courses should be displayed where contacts assigned to me are stored as registrations or participants.* There should be a filter functionality in the overview. The content of the following filter depends on the selection in the filters to the left of this filter. It is possible to filter according to the following criteria:** Contact scope: all contacts, only my contacts (default: all contacts).** Contact level: all contacts, A-contacts- B-contacts, C-contacts (default: all contacts)** Contact name (mapping is done via email address) (default: empty)** Year the event/training was held (default: current year, e.g. 2020)** Location (default: all locations)** Event type: Event type/training type (default: all types)* When an event/training is clicked, a detailed view of the event should be displayed.* The following data should show up in the view of an individual event/training:** Details** registrations** Participants"
"As a Key Account Manager I want the new location ""Online"" created in the master data,for which there is no counterpart in CRM, tobe ignored when generating scheduled sales reports (of any type),so that I avoid ""false"" error messages like the following:\\From: comet@andrena.de <comet@andrena.de>Sent: Friday, May 1, 2020 14:57To: distribution <vertrieb@andrena.de>Subject: Report generation errorHello Sales Team,the following reports could not be generated:OnlineParameters:Year: 2020, Month: 4CoMET\\","Acceptance Criteria:* If there is an ""Online"" location in the Master Data Cockpit, then the following applies:** for ad hoc reports, this location will not appear in the Locations DropDownListBox.** for time-controlled reports, this location is ignored, i.e. no attempt is made to generate the sales reports for this location.\\Notes:* CRM contact person: �"
"As a product owner I want in AC, when deleting usersthat the list remains stable in its view after the deletion process,so that I can see where I was in the list before I triggered the delete functionso that I can systematically process the next user.\\","Acceptance Criteria:* If I have a list of users that is longer than the displayed list and I scroll down the list, select a user, and then right click Delete, then:** the user is no longer in the list** the list is still scrolled to the same position, only the following users seem to have moved up one entry.** no user is selected.\\Notes:* This UX property should apply to.** deleting a user** creating a user,** changing a user's details and saving those details** the Cancel action* The UX property for the above actions should also apply to** roles** rights"
"As a Training Manager I want the detailed view of an enrollment in the TC under Courses to display warnings in a prominent yellow bar above the form,so that I can be alerted to incorrect entries and correct them if necessary.\\","Acceptance criteria:* All contacts from the sign-in list that contain a warning should also display a warning in the details view.* Warnings should match frontend validation (e.g. output names with one or two characters as a warning).* Warnings are: ??? (still needs to be added, preferably using the old implementation)* Visually, warnings should meet the following criteria:** All warnings are grouped in a light grey box.** The grey box above the individual warnings contains the heading ""Warnings"".** The individual warnings are displayed in yellow boxes with a deep yellow border.** In the individual yellow boxes for the warnings there is an attention iconsee picture below"
"As a Training Manager I want that in the Training Cockpit under Courses the detail view of a registration can no longer be left when clicking the edit button until the save or cancel button is clicked,so that I can't unintentionally lose the data I've entered.\\",Acceptance Criteria:* Clicking outside of Details will not cause loss of entered data.\\Note:* only affects in-app navigation not browser navigation
"As a Training Manager I want that an already existing or created company cannot be created again,so that I don't have duplicate companies in CoMET.\\","Acceptance Criteria Case 1:* no (new) duplicated companies are added in the dropdown list.* when creating a new company in the detail view of a contact registered for a training it should not be possible to create a company more than once by repeatedly clicking Save and Edit\\Hint:* Possibly this can be solved by backend validation cf: COMET-944.* We assume that it is sufficient to compare the company name.** Case 1 (mandatory function): The names match 1:1. Then it is the same company. Please remove the blanks first (Trim function). Please ignore upper and lower case letters, they do not matter.** Case 2 (optional function): The names have minor differences. If the e.g. Hamming distance is less than e.g. 2, then the company should be marked with a warning. If necessary, this case will be described in a separate story."
"As a Training Manager I want that when I edit a contact registered for a course and create a registration, data that is not required for the selected billing type is not stored,so that I can't store conflicting data.\\","Acceptance Criteria:* When editing a contact registered for a course and creating a new contact, it should not be possible to save data, such as the base price, for a billing type after clicking ""Save""/""Create registration"" for which this input is not applicable at all, by *switching billing type* and then switching back to another billing type.\\Hints:* Possibly by validating in backend and deleting the unnecessary data in frontend when clicking save/create registration cf COMET-944.* In the end there is no difference between the billing type company and the billing type private - therefore both should be served by the same input mask."
"As a Training Manager,I want the Navision mockup to be expanded in a way that new private clients that I have created in CoMET can seemingly be transferred to Navision,so that I can run meaningful tests just with the Contao import for trainings even without the NAVISION test system.",Acceptance criteria:* Private customers imported from Contao that already exist in Navision appear on the list of private customers in Navision.
"As a Training Manager,I want the Navision mockup to be expanded in a way that new private clients can be created and made visible in CoMET,so that I can run meaningful tests just with the Contao import for trainings even without the NAVISION test system.\\","Acceptance criteria:* the newly created private customer appears in the list of private customers in CoMET.* the imported private customer appears in the list of private customers in CoMET, if it did not already exist in Navision."
"As a Training Manager I want that when importing corporate customers as registrations from Contaomerge conflicts between what we already know about the contact and what is given in the registration are made visible in the form of warnings.The email address is decisive for the identification of a contact.Companies are automatically transferred if they are exactly the same as in Comet or Navision, otherwise a new Comet company is created.\\*Notes*:** exact match is not case sensitive and does not include spaces.** The import should behave as in the Event Cockpit.\\","Acceptance criteria:* Once new companies have been created as debtors in CoMET by importing training registrations from Contao, these new companies will appear** in the list Companies in CoMET** in the DropDownListBox for selecting a company in the detail view of a contact.** Similar (not exactly the same) companies are listed twice this way."
"As a Training Manager I want the billing document for a course that has not yet been completed to be simplified in the TC,so that the CoMET-NAVISION interface for the billing document be replaced by an Excel export that transfers the following information:* File name: CoMET-Export - Training - Billing Document - <date of export, e.g. 2020-06-09>.xls* File content (columns) (one line per participant, so that Financial Accounting can create one invoice per line):** Customer no., e.g. 11232** Period, e.g. 06.02.2020 - 07.02.2020** Course name, e.g. SPS with Nexus** Training location, e.g. Karlsruhe or online** Participant with the following information:*** First name, e.g. Daniel*** Last name, e.g. Naglitsch** Early bird discount amount, e.g. -100 EUR** Major customer discount amount, e.g. -130 EUR** Special discount*** Reason, e.g. pilot version of the training course*** Amount, e.g. -250 EUR\\This Excel export can be triggered in the billing view with the button ""Export to billing file"",The confirmation of the successful export takes place in the usual CoMET way as a download display (see Sales Cockpit).\\Benefit:* In this way, the billing document for a Training can be triggered even without an existing CoMET-NAVISION interface.* This is therefore an MVP approach as long as we have to do without a real NAVISION test system.\\",Acceptance criterion:* The exported Excel file has exactly the same structure as the displayed billing list.* The exported Excel file has exactly the same content as the displayed billing list.* The exported Excel file is displayed in the usual way as a download Excel file.\\Notice:* An example of the export Excel file described above can be found in the Appendix of this User Story.* An example of an original invoice can be found as an appendix to this user story.
"As a Training Manager I want the billing list in the TC for a course, which can be sorted by all columns, in the view Billing Documentis adapted in such a way that it corresponds 1:1 to the structure of the export Excel list described in COMET-1111,so that the WYSIWYG principle (What you see is what you get) familiar from CoMET is adhered toand I as a user can check in advance what the structure and content of the export Excel list will look like.\\Structure of the billing list (column headers):* Customer no.* Period* Course name* Course location* First name (of participant)* Last name (of the participant)* Early booking discount (in Euro)* Major customer discount (in Euro)* Special discount (in Euro)\\","Acceptance criterion:* All participants of the course listed in the Participants view are found in the billing list.* All columns can be used for sorting.* The number of rows in the billing list corresponds exactly to the number of rows in the participant list.\\Notes:* The button ""Update invoice data"" can be removed from the billing view, as it is not needed for the MVP version of the TC.* The button ""Book out invoices ..."" can be removed from the billing view, as it is not needed for the MVP version of the TC.* Please add a button ""Export billing list"" to enable the export of the billing list, see COMET-1111.* Please add a button ""Complete billing document"" to enable manual completion of the billing document (MVP version), see COMET-1112."
"As a Product Owner I want a concept for a stepwise contact import function from CSV and XLSX files in all cockpits of CoMET,so that in the future there are no more problems with importing contacts into CoMET despite the high variance and unpredictability and sometimes low data quality of the imported data.\\*Explanation of the term incremental file import function:** The import function for contacts in CoMET shall ...** first check if the file can be imported at all (stages 1 to 3),** before the actual import takes place (stages 4 and 5).* This is to ensure that ...** the CoMET user receives meaningful error messages and knows exactly how to revise the file to be imported so that the import into CoMET succeeds without problems (WYSIWYG principle).** no inconsistent state can occur when importing the data into CoMET, e.g. by aborting the import while part of the file has already been imported and processed (all-or-nothing principle).\\*Explanation of the steps of the contact import:## *Check if the file can be imported at all*.** Stage 1 : Convert the file into a CSV format, i.e. CoMET internally works exclusively with the CSV format to avoid redundancy and thus complexity in the implementation.*** This means: *one* conversion for different file formats, *not* a separate conversion for each file format.*** Abort of the import if this internal conversion to a CSV file fails.**** Error message: ""CoMET cannot import the detected file format. Please check if the file format is supported and the file can be opened with Excel. Supported file formats are: .csv and .xlsx""** Step 2 : Parse the structure of the CSV file (line 0, header line) to see if it conforms to the WYSIWYG principle.*** Abort import if this check fails, i.e. the structure of the columns and their naming and order does not correspond to the list view into which the file content is to be imported.**** Error message if this line 0 is missing, i.e. not a single one of the expected headings according to WYSIWYG is found: ""CoMET cannot import the file. No column headings were detected.""**** Error message if there is a WYSIWYG violation in the column headings: ""CoMET cannot import the file. The column headers do not match the displayed column headers in CoMET.""**** Error message if there is a WYSIWYG violation in column order: ""CoMET cannot import the file. The column order does not match the displayed column order in CoMET.""** Step 3 : Parse rows 1 to N.*** Error message if a required field such as email address is not filled in: ""CoMET cannot import the file. No entry was found in the row <row no from user view> in the mandatory field <column header of the affected column> .""# *Performing the actual import.** Stage 4 : Importing and processing one row at a time.*** Case 1 : Contact duplicate within the file : If a contact duplicate (i.e. same email address) is detected within the file but not in relation to contacts imported so far in CoMET, then the import continues normally and the duplicate is subjected to the CoMET merge procedure.*** Case 2 : Contact doublet file to CoMET : If a contact doublet (i.e. same email address) is detected between file and CoMET, i.e. the contact is already known in CoMET but not yet imported into the target list to which the import is to be made, then the import is continued normally and the doublet is subjected to the CoMET merge procedure.*** Case 3 : Repeated import of the file : If the contact has already been imported into the target list (and possibly already revised there by the user due to merge conflicts), then no further import of this contact into the target list takes place, i.e. it is avoided that the user has to resolve the merge conflict again after each repeated import.** Level 5 : Indicate the successful completion of the import by refreshing the displayed list.*** ","Acceptance criterion: The displayed list contains N - D entries, where N is the number of rows in the contact import file and D is the number of duplicates within the contact import file."
"As a CoMET developer I want to know which _contact training association_ a Comet company is using,so I can update it when the Comet company is assigned to a Navision company.Definition:A Contact Training Association consists of Training ID and Contact ID (regardless of participation status).","Acceptance Criteria:* When creating a new registration.** Then: the contact-training association is added to the list at the Comet company.* Given: Registration with a Comet company.** If: registration changes to another Comet company** Then: Old Comet company is no longer linked to Contact Training Association AND ""new"" Comet company is linked to Contact Training Association.** If: Billing type changes (no more company registration)** Then: Old Comet company is no longer linked to the contact training association.* Deregistration from a course** Then: Old Comet company is no longer linked to the contact training association.Notice:Each Comet Company requires a list of registrations (Training ID + Contact ID).Idea (see COMET-800): If this list is empty, a warning can be displayed or the object can be deleted."
"As a Training Manager I want to have a view ""New creation in NAVISION"" in the TC under Companies,in which a list of all companies that still have to be created manually in NAVISION by the NAVISION owner is displayed,so that the NAVISION owner knows exactly which new companies still have to be created in NAVISION,so that I can enable a smooth billing process for training courses.\\","Acceptance Criterion:* The list ""New creation in NAVISION"" lists all companies that were processed in the list ""in CoMET"" and could not be assigned to a company in NAVISION, so that the alternative ""New creation"" was selected.* A company can only be listed in one of the following three lists:** in CoMET** in NAVISION** new creation in NAVISION\\Notice:* Clarification with � on 02/17/2021 revealed that this feature is a ""golden faucet"" that is also not desired at this time.* Workaround: verbal coordination between Training Manager and Financial Accounting when identifying the need for revision of a debtor. The revision always takes place in the 4 eyes principle by the financial accounting."
"As a Training Manager I want to have a view ""Postprocessing in NAVISION"" in the TC under Companies,in which a list of all companies that still have to be manually reworked in NAVISION by the NAVISION owner is displayed,so that the NAVISION owner knows exactly which post-processing of companies still has to be done in NAVISION,so that I can facilitate smooth billing for training.\\Notice:* Post-processing of a company in NAVISION is required as soon as changes are made to a company in the ""in NAVISION"" list in CoMET.* These changes will not be automatically transferred to NAVISION until further notice and must therefore be manually adjusted in NAVISION.* Clarification with � on 17.02.2021 revealed that this feature is a ""golden tap"", which is also not desired at the moment.* Workaround: verbal coordination between Training Manager and Financial Accounting when identifying the need for revision of a debtor. The revision always takes place in the 4 eyes principle by the financial accounting.\\","Acceptance criterion:* In the list ""New creation in NAVISION"" all companies are listed, which were processed in the list ""in CoMET"" and could not be assigned to any company in NAVISION, so that the alternative ""New creation"" was selected."
"As a CoMET user (EC, TC) I want that e-mail addresses which comply with the specification RFC 2822,be accepted by CoMET as valid e-mail addresses.\\Source Notes:* https://tools.ietf.org/html/rfc2822\\","Acceptance criterion (according to https://de.wikibooks.org/wiki/Internet:_E-Mail:_Adresse).* The Internet standard RFC 2822 specifies which letters, numbers and special characters the address may consist of:** A-Z** a-z** 0-9** and .!#$%&'*+-/=?^_`{|}~* Other characters, such as spaces, may be used if local-part is enclosed in double quotes.* All characters above ASCII code 127, including umlauts and ""�"", are generally forbidden.* There must not be a period at the beginning or end of the string.* The address may be a maximum of 254 characters long."
*As a user* of the Comet Test System I want to have a data set that covers as many current test scenarios as possibleso that I can detect errors at an early stage and to have a far-reaching safety net*,"Acceptance criteria:** There are events that are in the future (best already on the start page: Objektforum Karlsruhe) for which a Contao import can be started.* There are events that have a duplicated ID in the Contao database to test corresponding warnings.* Analog for trainigs* In the Contao system all registration types are available for trainings (private customers, andrena, business customers)*Comment.The training backend made it necessary that training data is also available in the mocked Contao system. The previous test data generator did not cover this and its existence was unknown to the team. Therefore, a new MYSQL database was created with a manually generated database state.Previous procedure: There is a SQL file with anonymized data in the test setup project. If a new test case is needed, this test file has to be adapted and on the test system the MYSQL container has to be stopped, removed and then rebuilt and restarted."
"As a recipient of email newsletters I want to confirm my subscriptions when creating my contactso that I avoid unwanted mails.Notice:Currently, manual subscription to mailing lists is possible when creating without doing a Double OptIn.","Acceptance criteriaAcceptance test 1:- Precondition: Stefan M�ller is not known in the Comet system.- For unknown reasons, a marketing employee enters Stefan M�ller as a new contact in Comet. In doing so, Stefan M�ller is additionally assigned to the distribution list Objektforum Karlsruhe. (Incorrect use!)- Result: Stefan M�ller cannot be assigned to the distribution list Karlsruhe.- Result: The personal data of Stefan M�ller will be deleted from Comet after the usual period of time.Acceptance test 2: (should already work like this)- Precondition: Stefan M�ller is not known in the Comet system.- Stefan M�ller spontaneously comes to an object forum in Karlsruhe and registers on the list of participants available on site.- Stefan M�ller is entered by the marketing department as a contact in Comet and assigned to the event as a participant.- Stefan M�ller receives an e-mail thanking him for participating in the event and clicks on ""I want to continue to be informed about events"".- Marketing processes feedback to the thank-you mail => Stefan M�ller is added to the distribution list OF-KA- Result: Stefan M�ller remains in the Comet as a contact forever and will be informed about future events (until he revokes his consent)Acceptance test 3: (should already work like this)- Precondition: Stefan M�ller is not known in the Comet system.- Stefan M�ller spontaneously comes to an object forum in Karlsruhe and registers on the list of participants available on site.- Stefan M�ller is entered by the marketing department as a contact in Comet and assigned to the event as a participant.- Stefan M�ller receives a thank you email for participating in the event and does NOT click on ""I want to continue to be informed about events"".- Result: Stefan M�ller does not receive any further emails about our events (not even before his deletion)- Result: Stefan M�ller's personal data will be deleted from the Comet after the usual deadline."
"As a CoMET user (EC, TC) I want that when importing registrations from Contaoemail addresses that do not comply with the specification RFC 2822,are imported by CoMET, but with the warning\\""invalid email address (does not comply with RFC 2822 standard)"".\\so that the contact is listed under Warningsand can be edited by the Event Manager or Training Manager.\\Source Notes:* https://tools.ietf.org/html/rfc2822\\","Acceptance criterion (according to https://de.wikibooks.org/wiki/Internet:_E-Mail:_Adresse).* The Internet standard RFC 2822 specifies which letters, numbers and special characters the address may consist of:** A-Z** a-z** 0-9** and .!#$%&'*+-/=?^_`{|}~* Other characters, such as spaces, may be used if local-part is enclosed in double quotes.* All characters above ASCII code 127, including umlauts and ""�"", are generally forbidden.* There must not be a period at the beginning or end of the string.* The address may be a maximum of 254 characters long."
"As a sales employee I want to have all navigation items displayed in the side menu,so that I am able to instantly navigate back and forth between different views.//*","acceptance criteria* First-level navigation points are integrated into the sidebar* First-level navigation points are expandable and include the second-level navigation* After navigation, only the first-level navigation point of the currently selected second-level navigation point is expanded.* Color highlighting of the selected first- and second-level navigation points* Removal of the navigation points in the header (name and logout button as well as COMET navigation point and versions remain unchanged)//*Figma wireframe/clickdummyhttps://www.figma.com/file/NF3b7zukxrfm1oa9mhKcgZ/Navigation?node-id=0%3A1"
As a sales employee I want to get a quick overview in which cockpit and on which subpage I am at the momentso that I get an awareness of how I got to the page//*,acceptance criteria*Breadcrumb should be displayed in the header//*Figma Wireframehttps://www.figma.com/file/NF3b7zukxrfm1oa9mhKcgZ/Navigation?node-id=0%3A1
As a sales person I want to integrate the version indicator into the side menuso that I make it more visible and have more space available for the Comet navigation item//*,Acceptance criteria* Versions is integrated into the side menu and accessible from every page* The CoMET navigation point is displayed larger and more prominently//*Figma Wireframehttps://www.figma.com/file/NF3b7zukxrfm1oa9mhKcgZ/Navigation?node-id=0%3A1
As a Training Manager I want to use the new navigation structure from the Sales Cockpitso that I experience a consistent look-and-feel in the CoMET application and make navigation easier.//*,"acceptance criteria* The new navigation structure implemented in the SC is also used in the TC.* The third-level navigation works as in the wireframe/clickdummy.//Please note that the number of participants and opt-in opt-out must be able to be set dynamically, as they can change depending on the status of the course.Reference: https://www.figma.com/file/NF3b7zukxrfm1oa9mhKcgZ/Navigation"
As an Event Manager I want to have the new navigation structure displayed in the Event Cockpitso that I experience a consistent look and feel across the Comet application and make navigation easier.*,acceptance criteria*The navigation structure from the TC will also be used in the EC
As a marketing employee I want to have the new navigation structure displayed in the Marketing Cockpitso that I experience a consistent look and feel across the Comet application and make navigation easier.*,acceptance criteria*The navigation structure from the TC will also be used in the MC
As a Data Protection Officer I want to see the new navigation structure in the DSBCso that I experience a consistent look and feel across the Comet application and make navigation easier.*,acceptance criteria*The navigation structure from the TC will also be used in the DSBC
*As**I want* to see the new navigation structure displayed in the Master Data Cockpit.*To* experience a consistent look and feel across the Comet application and make navigation easier.*,acceptance criteria* The navigation structure from the TC is also used in the SDC.
As a Comet administratorI want to have the new navigation structure displayed in the admin cockpitso that I experience a consistent look and feel across the Comet application and make navigation easier.*,acceptance criteria*The navigation structure from the TC will also be used in the ACReference: https://www.figma.com/file/NF3b7zukxrfm1oa9mhKcgZ/Navigation
"As a course manager I want to receive a meaningful error message when I try to delete a course that still has registrations or participants,so that I know what to do to actually delete the course.\\","Acceptance Criterion:* When I try to delete a course that still has enrollments, the error message ""Please remove all enrollments first to be able to delete the course.""* If I try to delete a course that still has participants, the error message appears: ""Please remove all participants first to be able to delete the course.""\\Notes:* So far, only the console logs HTTP error 409.* The explicit check of registrations and participants is necessary, since a registered contact has already become liable to pay (pay the cancellation fee), e.g. due to the expiry of a cancellation deadline."
"As an Event Manager I want to be able to also manually set for an event in the Details viewevery single step in the checklist that has not yet been set automatically by CoMETto one of the states* done manually* not necessary* open (initial state)\\and add a comment,so that especially online events, for which not all points of the checklist in CoMET can or must be run through,the event can be completed.\\","Acceptance Criteria:* For each manual adjustment, a corresponding entry including the associated comment appears in the event details view in the history.* Only checklist entries that have not yet been set automatically by CoMET can be edited manually.* Only manual checklist entries can be reset.\\Notes:* This feature is also particularly important for the TC, which is intended to be a 1:1 derivative of the EC in an initial MVP version 0.80.* The checklist is a common component, i.e. changes in the EC also affect the TC. This is also desired.\\Implementation Alternative:* Suspend the checklist check when an event is closed, i.e. an event can be set to closed at any time."
"As a Training Manager I want to add the course type private course to the TC,so that private courses can be managed in the TC in addition to public courses.and that CRM no longer needs to be used for courses, thereby saving potentially toxic contacts in CRM.\\","Acceptance Criteria:* In the TC, in the view Trainings, Training Overview, a new training of type private training can be created, in addition to the type public training, i.e. there is a selection box that allows the Training Manager to choose which type of training he needs.* Since private courses are not stored in Contao (the registration is done in-house by the customer, not via Contao), no Contao warning is generated for the course type private course (counterpart in Contao).* Under Registrations, the button 'Import from Contao' has been replaced by the button 'Import from Excel', which has been deactivated so far.* The billing for a private course is - in contrast to the public course - not done on contact level but on company level. This functionality will be mapped as a normal consulting order in CRM. Therefore, it must only be possible to manually set the billing document to completed in the checklist."
"As a Training Manager I want the incidents in the TC when changing a course correspond 1:1 to the incidents in EC when an event is changed,so that changes to the course are visible in the history of the course.\\","Acceptance Criteria:Immediately after a change of a field* title* Course type* Trainer* Location* Start date* End date\\of a course, a corresponding incident (if possible, specifying the changed field(s)) is entered in the history in the detailed view of the course and is directly visible to the user."
"As a product owner I want that at all points in CoMET where contact data is imported,* EC : Import registrations from Contao* EC : Import attendees of an ET (developer day) or XP Day* EC : Import Opt-In* EC : Import Opt-Out* TC : Import registrations from Contao (public Training)* TC : Import registrations from a CSV file (private Training)* TC : Import Opt-In* TC : Import Opt-Out* <please add to the list if any import options have been overlooked>.\\the validation during the import of the salutation is relaxed in such a way,that besides ""Mr"" and ""Mrs"" any string consisting of at least one letter (e.g. ""Mr"", ""Mrs"", ""Ms"", ""D"") is accepted,so that international salutations or gender-conforming salutations still in development can also be imported by CoMET,without having to give up the obligation to specify a salutation (mandatory field) (see context below).\\*","Acceptance criteria:** The validation must be relaxed in such a way that when importing registrations for private courses, any other salutations are accepted in addition to the salutation Mr. and Mrs. However, NULL is not accepted.\\Notes for registration files for private courses* In case the salutation is not included in the file supplied by the customer and the first names are not unique (e.g. Jona, Jule, Kaja, Kim, Luca, Marlin etc.), the Training Manager must request the correct salutation from the supplier of the CSV file (e.g. customer organizer of an in-house training).* If a contact person does not provide the necessary salutations, the Training Manager can simply enter ""Hello"" instead of ""Mr."" or ""Ms."".* This is also how it is solved in the Recruiting Portal for applicants with the specification divers.\\Context: Information from � dated 27/01/2021:* The requirement that the ""salutation"" field of a contact is a required field comes from RapidMail.* RapidMail is used to send mass emails to promote events and trainings.* Changing the ""Salutation"" field from a required field to an optional field would result in a chain of required adjustments in RapidMail."
